q,a1,a2,a3,a4,a5,a6,a7
Name An Occupation Where The Workdays Are Made Worse By Nasty Weather.,Construction,Mail Carrier,Traffic Cop,Bus/Truck Driver,Pilot,,
What Kind Of Bread Would Be Horrible For Making A Sandwich?,Banana,Garlic,Cinnamon Raisin,Cornbread,Pumpkin/Zucchini,,
Name Something You Might Find In A Tennis Bag.,Tennis Balls,Racquet,Towel,Tennis Shoes,Socks,,
Name A Vegetable That They Make Baby Food Out Of.,Carrots,Peas,Beans,Corn,Spinach,,
Name An Organ People Might Have Removed.,Kidney,Appendix,Gall Bladder,Lung,Spleen,,
Name Something That Keeps You From Finishing A Jigsaw Puzzle.,Missing Piece,Time,Difficulty,Kids,Boredom,,
Name Something That Happens To The Furniture Of A Person Who Owns Pets.,Many Scratches,Strong Smells,Hair All Over,Lots Of Stains,Chewed Up,,
Name Something That A Waitress On Roller Skates Would Say Is Her Mortal Enemy. (More Specific Than Food/Drinks),Rocks,Wet Floor,Hot Coffee,Cracks/Bumps,Condiments/Dressing,,
Name Something You Buy In A Larger Size If You Have A Large Family.,Groceries,Toilet Papaer,Car,House,Couch,,
Name Something You Might Change When Moving Into A New House.,Paint/Wallpaper,Carpet,Contact Information,Locks,Curtains,,
Name Something That Gets Described As Festive,Party,Holiday,Food,Carnival,Decorations,,
Name Something On Everyone’s Driver’s License.,Birth Date,Name,Address,License Number,Description,,
Name A Salad That’s Not Green.,Pasta Salad,Potato Salad,Fruit Salad,Taco Salad,Egg Salad,,
Name Something People Turn On Just Before They Get In Bed.,Alarm,TV,Lamp,Radio,Electric Blanket,,
Name Something You Might Ask A House Sitter To Do While Staying At Your Place,Clean,Water Plants,Feed Animals,Take Out Trash,Get Mail,,
Name A Specific Item That A Man Carries Around That He Might Secretly Wish He Could Just Put In A Purse.,Wallet,Keys,Phone,Comb,Glasses,,
Name A Place Where It’d Be Rude For A Man To Go Without Wearing A Suit/Tuxedo.,Wedding,Funeral,Prom,Place Of Worship,Job Interview,,
"In One Word, What’s The Best Thing About Being Married?",Love,Intimacy,Companionship,Money/Security,Kids,,
What Might You Find Out About A House That Would Make You Back Out Of Buying It.,Haunted,Termites,Mold,Price Went Up,Leaky Roof,,
Tell Me Something That Can Momentarily Blind You.,Sun,Bright Light,Camara Flash,Pepper Spray,Love,,
Name Something That Love Gets Compared To In Pop Songs.,Flower,Candy,Battlefield,River,Music,,
Name Something A First-Time Parent Would Need To Do Before The Baby Was Born.,Buy a Crib,Buy Clothes,Buy Diapers,Baby Shower,Parenting Classes,,
Name Something In A Woman’s Purse That A Man Would Never Ask To Borrow.,Lip Stick,Tampons,Compact,Eyelash Curler,Perfume,,
Name A Job Where You’d Need Great Vision.,Pilot,Doctor,Driver,Umpire,Police Officer,,
Name Something You Might Pay Extra For When You Get Your Car Washed.,Wax,Vacuum,Detailing,Dry Car,Polish,,
Name A Game Show That Gives Away A Lot Of Money.,Millionaire,Sunscreen,Wheel Of Fortune,Family Fued,Price Is Right,,
Tell Me What Kids Hate Most About School.,Homework,Teachers,Getting Up,Math,Principal,,
"If Someone Is Talking Too Much, What Might You Offer Them In The Hope Of Keeping Them Quiet?",Food,Gum,Money,Drink,Reading Material,,
Name A Place Where You Sit Until Your Name Is Called.,Doctor’s Office,DMV,Court,Classroom,Restaurant,,
Name Something A Plane Can’t Fly Without.,Wings,Engine,Fuel,Tail,Rudder,,
Name Something You’d Find In A Boy’s High School Gym Locker Room.,Towels,Clothes,Lockers,Jock Straps,Shoes,,
Name Something You See At A WWE Match You’d Never See At A High School Wresting Match.,Blood,Violence,Characters,Costumes,Throwing Chairs,,
Name Something You Might Do On A Date In The Park.,Kiss,Picnic,Walk,Hold Hands,Use Playground,,
What Might A Flower Gardener Name His Daughter?,Rose,Daisy,Lily,Iris,Violet,,
"On A Dating Website, What Activity Do People Often List As A Pastime?",Reading,Sports,Dancing,Hiking,Watching Movies,,
Name Something In A Casino That May Give You A Headache.,Noise,Smoke,Flashung Lights,Slot Machines,Alcohol,,
Name something for which people shop around before buying,Car,Clothes,House,TV,Appliances,,
Name A Breakfast Food You Could Prepare Using Just One Hand.,Toast,Eggs,Cereal,Waffle/Pop Tart,Bacon,,
Name A Game That Would Be Inappropriate At A Company Party.,Spin The Bottle,Strip Poker,Twister,Truth Or Dare,Beer Pong,,
Name something you might be “on top of”.,The World,Work/School,Mountain/Hill,Your Game,Bills,,
"Besides A Book, Tell Me A Good Gift For Someone Who Loves To Read.",Mag./Subscription,Book Light,E Reader,Bookmark,Book Shelf,,
Name A Place Where You Would Find An Usher.,Place Of Worship,Wedding,Movie Theatre,Funeral,Concert,,
Name An Indoor Activity You Spend Much More Time Doing In Winter.,Watching TV/Movie,Reading,Playing Games,Sleeping,Cooking,,
Name An Animal That A Person With Large Teeth Resemble.,Beaver,Horse,Rabbit,Tiger/Lion,Donkey,,
Name A Character In The Wizard Of Oz That Would Require The Most Elaborate Costume.,Tin Man,Lion,Scarecrow,Wicked Witch,Dorthy,,
Name Something An Airline Passenger Might Find There Isn’t Enough Of On The Plane.,Food,Leg Room,Seats,Pillows/Blankets,Drinks,,
Name Something You See Trained Monkey’s Doing In Sitcoms And Movies.,Dancing,Talking,Eating Bananas,Smoking,Driving,,
Name A Place Where People Don’t Want To End Up,Jail,Dead,Hell,Homeless,Dumpster,,
Name A Way You Know Your Teacher Is Having A Bad Day.,Yells A Lot,Grumpy,Extra Homework,Gives Punishments,Facial Expression,,
Name A Specific Stunt That Most Action Movie Heroes Probably Don’t Do Themselves,Fly,Jump From Building,Car Crash,Endure Fire,Flips,,
Name A Really Big State.,Texas,California,Alaska,New York,Florida,,
What Might You Draw On A Picture Of Someone’s Face In Order To Make Them Look Silly?,Moustache,Beard,Big Nose,Horns,Glasses,,
Name Something You’d Need If You Wanted To Play A Game Of Water Polo.,Pool,Ball,Swimsuit,Net,Goggles,,
Name A Reason A Teenaged Boy Would Have For Wearing A Suit.,Wedding,Church,Prom,Funeral,Graduation,,
What Line Of Work Should You Get Into If Your Hairstyle Is Stiff And Plastered With Hairspray?,Politician,Model,Newscaster,Actor,Hairdresser,,
Name Something You’d Hate To Forget On A Ski Trip.,Skis,Coat,Gloves,Boots,Hat,,
Name A Famous Animal From A Comic Strip.,Garfield,Snoopy,Marmaduke,Heathcliff,Hobbes,,
Name A Type Of Business In Which You Might Have To Work Over THe Holidays.,Retail,Police Officer,Medical Profession,Postal Work,Hotel Industry,,
Name A Method People Use When Deciding What Lotto Numbers They’re Going To Play.,Birthday,Address,Random Numbers,Anniversary Date,ID Card Number,,
Name A Place On Your Body That Might Be Sore After A Day Of Shoveling.,Arms,Back,Hands,Shoulders,Legs,,
Name A Class that Parents Enroll Their Kids In Before They Turn 3 Years Old.,Swimming,Dance,Art,Gymnastics,Music,,
"If You’re A Parent, Name something You Take Into Account When Moving",Schools,Yard,Bedrooms/Bathrooms,Neighborhood/kids,Near Playground,,
Name A Reason Why Kids Might Have A Weekday Off Of School.,Public Holiday,Snow Day,Sick,Teacher Conference,On Vacation,,
Name Something That’s Expensive To Replace If You Lose It.,Jewelry,Watch,Cell Phone,House,Pair Of Glasses,,
Name An Article Of Clothing People Get Fitted For.,Suit,Tux,Wedding Dress,Jacket,Pants,,
Name An Article Of Clothing A Restaurant Might Require Its Customers To Wear.,Shirt,Shoes,Tie,Sports Coat,Pants,,
"What Might Someone Leave Out Of A Personals Ad, That Would Make You Think They Were Hiding Something?",Age,Weight,Marital Status,Gender,Photo,,
Name Something A Pro Athlete Might Do To Prepare For A Game.,Stretch,Warm Up,Meditate,Eat Well,Plenty Of Sleep,,
Name An Occupation That Thinks Their Time Is More Important Than Yours.,Doctor,Lawyer,C.E.O.,Banker,Police Officer,,
Name Something You Wish You Had In Your Backyard,Swimming Pool,Garden,Playground,Hot Tub,Pond,,
Name Something That People Have A Desire To Smash.,Corsage,Broach,Button,Name Tag,Ribbon,,
"If You Had No Teeth, Tell Me A Food You Couldn’t Eat Anymore.",Corn On The Cob,Apples,Steak,Candy,Ribs,,
Name A Reason Why It Takes You Forever To Get Out Of The Grocery Store.,Long Lines,Shopping With Kids,Crowded,Chatting,Sales,,
"Other Than A Belt, Name Something That Can Have A Buckle.",Shoe/Boot,Car Seat,Bag/Purse,Coat,Suit Case,,
Tell Me An Article Of Clothing That People Who Live In Warm Climates Are Likely To Have Several Of.,Shorts,Swim Suits,Flip Flops,Tank Tops,T Shirts,,
Name Something Embarrassing That You Don’t Want To Do While Asleep On A Plane Ride,Snore,Drool,Pass Gas,Jerk/Fall Over,Talk In Sleep,,
Name Something That A Secretary Never Wants To Run Out Of At The Office.,Paper,Pens/Ink,Coffee,Staples,Time,,
Name Something A Hair Dresser Might Complain About A Customer.,Dirty Hair,The Tip,Always Moving,Late,Too Picky,,
Name Something People Check At Least Once A Day.,E Mail,Time,Mailbox,Hair,Voice Mail,,
"What Do Fast-Food Employees Have To Do, That 5-Star Wait Staff Don’t?",Cook,Clean,Work Drive Thru,Use Cash Register,Wear Uniform,,
Name A Noise That Causes Your Dog To Bark When He Hears It On TV.,Doorbell,Dogs Barking,Cat,Siren,Whistle,,
Name something you wouldn’t want to discover in a hotel bed when checking into your room.,Bugs/Rodents,Other Peoples’ Stuff,Dirty sheets,Hair,A person,,
Name something you might put on top of a salad.,Dressing,Croutons,Cheese,Fruit,Bacon,,
Name something a man might try to keep covered during a first date.,Tattoo,Acne,Bald Spot,Wedding ring,Belly,,
Name something a person might be picky about.,Food,Clothes,Hairstyle,Dating,Car,,
Name something that house cleaners clean more often than you do(More specific than a room),Toilet,Windows,Floor,Stove/Oven,Ceiling Fan,,
Name a way that a man’s voice might change when talking to his love interest.,Deepens,Softer,Nervous stutter,Higher pitch,Crack,,
Name a place in their home that people hide money.,Under mattress,Dresser drawer,Cookie jar,Closet,Freezer,,
Name a small creature who can be very noisy.,Cricket,Bird,Chihuahua,Cat,Frog,,
Name something risky that most people do at least once in their lifetimes.,Skydive,Fly,Get married,Bungee jump,Gamble,,
Name a sign your girlfriend might be turning into a mermaid.,Grows tail,She swims often,Getting scales,Always in water,Gills,,
Name something men try to cover up.,Affair,Baldness,Lies,Bills/Money,Gray hair,,
What body part is most important for a star to maintain?,Face,Stomach,Legs,Butt,Hair,,
Name something that shines at night.,Stars,Moon,Streetlights,Fire Flies,Headlights,,
Name something the world’s dumbest bank robber might leave at the scene of the crime,The Loot,ID,Fingerprints,Wallet,His gun,,
Name a cartoon character who’s always getting hurt.,Wile E Coyote,Daffy Duck,Tom/Jerry,Tasmanian Devil,Itchy & Scratchy,,
Name an activity you might do while on a Hawaiian honeymoon.,Surf,Swim,Snorkel/scuba dive,Hula dance,Luau,,
Name a job title someone might have in a big company.,CEO,President,Vice President,Supervisor,Manager,,
Name a topping you’d put on both a pizza and a taco.,Cheese,Beef/Sausage,Tomato,Olives,Onions,,
"Name something everyone says they’re good at when at a job interview,even if it’s a lie.",Computers,People skills,Punctuality,Multitasking,Organization,,
"Name something everyone says they’re good at when at a job interview,even if it’s a lie.",Computers,People skills,Punctuality,Multitasking,Organization,,
Name an activity people like to do at a lake.,Fishing,Boating,Swimming,Water ski,Picnic,,
Name something you might find on a miniature golf course.,Golf ball,Windmill,Cup,Putting green,Putter,,
Name something a kid with a broken arm would have a hard time doing at school.,Writing,Playing sports,Carrying things,Going to bathroom,Raising hand,,
Name something a manicurist needs to do her job.,Nail File,Fingernail Polish,Buffer,Cotton Balls,Scissors,,
For what reason might you suspect that the person you’re dating is in the mob?,Carries a gun,Lots of money,Italian accent,Black clothes,Secretive,,
Name a piece of kids’s play equipment that adults would probably hurt themselves using.,Monkey bars,Slide,Swing,Merry go round,Seesaw,,
"Past or present,name a presidential couple whose dinner conversations you’d love to eavesdrop on.",The Clintons,The Obamas,Bush Jr. and Laura,The Reagans,The Kennedys,,
Name something your partner might do first thing in the morning that wakes you up.,Shower,Kiss me,Brush teeth,Ignore alarm,Turn on light,,
"If you just ran a marathon,what would you need to do after the race was over?",Drink water,Rest,Shower,Stretch,Use bathroom,,
Tell me something that makes you mad when you’re watching TV.,Commercials,Background noise,Phone rings,Bad reception,Violence,,
Name something you might see a picture of on a postcard from Hawaii.,Palm trees,Beach,Water,Hawaiian Woman,Volcano,,
What kind of nut butter could you use if you were allergic to peanuts?,Almond,Hazelnut,Soy,Cashew,Walnut,,
Name an animal that can live in the cold.,Polar Bear,Penguin,Seal,Wolf,Walrus,,
We asked 100 Women: At what age is a man most handsome?(NUMBERS ONLY),30,40,25,35,20,,
Name A Kind Of Pyramid.,Egyptian Pyramid,Food Pyramid,Pyramid Scheme,Cheerleaders Pyramid,"$100,000 Pyramid",,
Name Something A Woman Would Be Foolish To Apply Makeup Before Doing.,Swimming,Showering,Going To Sleep,Washing Her Face,Aerobics,,
Name Something A Pizza Delivery Person Hates About Their Job,Bad Tips,Dogs,Driving,Finding House,Bad Areas,,
Name The Article Of Babies’ Clothing That Grown Adults Are Most Shocked By When Seeing Its Tiny Size.,Shoes/Booties,Diapers,Onesie/Pajamas,T-Shirt,Bib,,
What Are Some Things That People Send By Email That They Used To Send Through The Mail?,Letter,Pictures,Cards,Invitations,Bills,,
Name Something You Associate With The Dallas Cowboys.,Cheerleaders,Football,Troy Aikman,Champs,Blue Star,,
Name Something People Burn In Protest.,Flags,Bras,Draft Cards,Signs,Books,,
Name An Article Of Clothing Some Women Try To Wear As Tight As Possible,Jeans/Pants,Shit/Sweater,Skirt/Dress,irdle,Bra,,
Name Something Stressful That Couples Do Together,Argue/Counseling,Manage Money,Raise Kids,Plan A Wedding,Buy A House,,
Name Something Associated With Zorro,Mask,Sword,Z,Horse,Cape,,
Name A Type Of Professional Who Might Overcharge If You Don’t Know Any Better.,Mechanic,Lawyer,Doctor/Dentist,Plumber,Car Salesperson,,
"If you were a celebrity for a day,name a place or event you’d try to get into.",Awards show,The White House,VIP Nightclub,Concert/Backstage,Celebrity party,,
Name Something People Know About Richard Nixon,Watergate,Resigned,I Am Not A Crook,Went To China,Checkers Speech,,
Name Something An Employee Sitting In The Cubicle Next To You Might Do That Annoys You.,Talks Too Loud,Tap Pen/Pencil,Sings,Cough,Chew Gum,,
Name Something A Kindergarten Teacher Wears To Work That A Banker Never Would,Jeans,Apron,Tennis Shoes,T Shirt,Colorful Seater,,
Name A Place You See A Lot Of Green Grass.,Golf Course,Park,Farm,Suburbs,Country,,
Name A Comfort Food That Has Cheese In/On It.,Pizza,Mac And Cheese,Grilled Cheese,Nachos,Crackers,,
What Thanksgiving Dish Would Do The Least Damage If Thrown At You IN A Food Fight?,Turkey,Stuffing,Mashed Potatoes,Pie,Cranberry Sauce,,
Name A Movie With The Word “Dr.” In The Title.,Doctor Doolittle,Doctor Zhivago,Doctor Who,Dr. No,Dr. Jekyll/Mr. Hyde,,
Name A Way You Can Tell A Storm Is Coming,Dark Clouds/Sky,Lightning,Wind Changes,Smell,Drizzling,,
Tell Me Something That Causes Skin To Turn Red.,Sunburn,Rash/Allergy,Embarrassment,Alcohol,Exercise,,
"If you were to open “Heartbreak Hotel,” name something you’d offer your brokenhearted guests.",Chocolate/sweets,Love/company,A drink,Tissue,Flowers,,
Name A Reason Why A Particular Kid Might Be Popular In School,Good Looking,Good Athlete,Rich,nicely Dressed,Friendly,,
Name Something That Has A Lock On It,Door,Safe,Car,Locker,Gate,,
Name A Country That Usually Does Well In The Olympics.,United States,Russia,China,England,Germany,,
Name something a teenager would hate to be the last of their friends to do.,Drive,Date,Graduate,Hit puberty,Get a phone,,
"What Might You Do On Family Feud, That Makes Your Family Upset With You?",Give Wrong Answers,Lose Fast Money,Yell,Swear,Give No Answer,,
Name Something You Use To Decorate Your Face For Halloween,Paint,Mask,Fake Blood,Clown Nose,Glitter,,
What Might A Health Inspector Find In A Restaurant That Causes It To Get A Poor Score?,Rodents,Bugs/Roaches,Dirty Dishes,Mold,Hair,,
Name Something People Serve With Biscuits.,Gravy,Butter,Mashed Potatoes,Jelly,Honey,,
Name A Piece Of Information You’d Include In A Personals Ad But Not On A Resume.,Age,Height,Marital Status,Weight,Horoscope Sign,,
Name Something Specific That People Flip,Coin,Pancake,Burger,Hair,House,,
Name A Famous Howard.,Howard Stern,Howard Hughs,Howard Cosell,Howard johnson,Howard The Duck,,
Name Something That Would Make You Suspicious If Your Date Said He Didn’t Have Any.,Money,Friends,Family,Exes,Identification,,
Name Something Peoiple Subscribe To By Month,Magazine,Newspaper,Cable,Gym,Internet,,
Name Something A Baby Doesn’t Have That Most Adults Do,Teeth,Hair,Car,Money,Job,,
Name a profession that would help you be good at solving crossword puzzles.,Teacher,Writer,Librarian,Editor,Journalist,,
Name Something You Wave In The Air.,Hands,Flag,Sign/Banner,Kite,Lighter,,
Which Piece Of Playground Equipment Has Probably Resulted In The Most Injuries?,Swings,Jungle Gym,Slide,Seesaw,Merry Go Round,,
"Name An Animal That’s Usually Not Dangerous, But Many People Are Afraid To Touch",Dog,Snake,Skunk,Frog,Mouse,,
Name Something You Need When You’re Moving.,Moving Truck,Boxes,Dolly,friends To Help,Movers,,
Name An Appetizer You Might Find Served At A Bar,Peanuts,Chicken Wings,Pretzels,Popcorn,Nachos,,
"Other Than A Canvas, Name Something That You Put Paint On.",Wall,House/Building,A Face,Porch/Fence,Nails,,
Name A Reason You Might Have To Get A Change For A Dollar,Make A Phone Call,Vending Machine,Parking Meter,Bus Fare,Newspaper Machine,,
Name A Member Of The Celebrity Elite Who Is Famous For No Apparent Reason.,Paris Hilton,Kevin Federline,Donald Trump,Kim Kardashian,Nicole richie,,
Name Something A Driver Might Do When He Sees A Police Car.,Slow Down,Pull Over,Put Seat Belt On,Run The Other Way,Panic,,
Name An Office Supply That You’d Be Surprised To See On Your Kid’s List Of School Supplies.,Computer,Stapler,Copier/Fax,Envelopes,Paper Clips,,
"Besides Your Plane Ticket, Name Something You Can Spend Money On At An Airport",Food/Drink,Magazine/Paper,Souveniers,Luggage Fee,Parking,,
Name Something You Tap.,Foot,Table,Fingers,Drum,Pencil,,
What Would You Be Surprised To See A Child Do At A Bowling Alley?,Get A Strike,Smoking,Drinking,Sleeping,Perfect Game,,
Name A Door That You’d Hate To Leave Unlocked Accidentally,Front Door,Car Door,Bathroom Door,Safe,Pet,,
"What Does A Businessman Use When Making Speeches, But Pastors Don’t During Their Sermons?",Note Cards,Chart,Pointer,Powerpoint,Projector,,
Name Something Kids Look Forward To,Vacation,Christmas,Birthday,Gifts,Recess,,
Name A Piece Of Information That Might Be On A Dog’s Tag.,Name,Address,Phone Number,Owner’s Name,Reward,,
Name A Specific Occupation Where They Wear Sneakers.,Basketball Player,Coach,Tennis Player,Nurse,Runner,,
Name Something A Pet Might Do To Its Owner’s Shoes.,Chew/Bite Them,Relieve Thenselves,Hide Them,Drool/Lick Them,Smell Them,,
Name Something About You That Has Not Changed As You’ve Gotten Older,Personality/Attitude,Eyes,Name,Sense Of Humor,Smile,,
"If You Were Designing An Airport, Name Something You’d Make Sure There Was A Lot Of.",Bathrooms,Runways,Chairs,Computers,Smoking Areas,,
Name Something That Might Be Carved Into A Christmas Ice Sculpture.,Angel/Religious Fig.,Tree,Santa/Reindeer,Penguins/Animals,Snowflake,,
Name A Reason Why A Man Might Delay Proposing To His Girlfriend.,Nervous,No Money,Not Ready,Unsure,Someone Else,,
Name Something A Deejay Needs To Play A Gig.,Music,Turntable,Microphone,Laptop/Ipod,Sound System,,
Name A Job From Which You Would Come Home Smelling Really Good.,Baker,Perfume Seller,Florist,Chef,Spa Employee,,
Name Something People Do With Pennies.,Save Them,Throw In A Fountain,Roll Them Up,Throw Them Away,Spend Them,,
Tell Me A Reason You Might Be Low On Sleep.,Overworked,kids/New Baby,Can’t Sleep,Sick,Studying,,
Name Something Oprah Winfrey Has That The Average Woman Admires.,Money,Talk Show,Self Esteem,Charisma,Style,,
What Might A Bankrobber Wear In Order To Keep His Identity A Secret?,Mask,Gloves,Wig,Hat,Sunglasses,,
Name An Expensive Food That You Wouldn’t Serve At A Kid’s Birthday Party,Caviar,Filet Mignon,Lobster,Shrimp,Sushi,,
Name A Department Store Where People Shop During The Holidays.,Wal Mart,Macy’s,Sears,J C Penny,Target,,
Name Something You Should Always Carry Extra Of When Flying By Plane.,Money,Change Of Clothes,Snacks,Gum,Tissue,,
What Might You Find In Your Food That Belongs To The Cook?,Hair,Ring,Fingernail,Bandage,Tooth,,
Name A Type Of TV Show That You Wouldn’t Want To See Your Grandma On,Reality TV,Talk Show,Dating Show,Romantic Drama,True Crime,,
Name Something People Take Along To Make A Long Car Ride Go Faster.,Music,Reading Matereal,Games,Snacks,TV/Movie,,
Name Another Word For “Ugly.”,Gross,Hideous,Homely,Nasty,Unattractive,,
Where In Your House Do You Look For Something That’s Been Packed Away For Winter?,Attic,Closet,Basement,Garage,Under Bed,,
"When Living In An Apartment, Name Something You Can Often Hear Your Neighbors Doing.",Fighting,Talking,Watching TV,Partying,Vacuuming,,
Name A Service A Hotel Provides That You With You Had At Your House.,Room Service,House Keeping,Massage,Laundry,Valet,,
Name A Way People Get To Work In The Morning.,Car,Public Transportation,Carpool,Bike,Walk,,
"Name Something That Farmers 100 Years Ago Did By Hand, But Now Do With Machines.",Plow The Field,Plant Seeds,Milk Cows,Harvest Crops,Water Crops,,
Name A Sport Where Players Lose Teeth.,Hockey,Boxing,Football,Baseball,Wrestling,,
Name A Patriotic Song,Star Spangled,God Bless America,Born In The USA,Amer The Beautiful,Yankee Doodle,,
Name Something People Put On The Outside Of Their Car.,Wax,Sticker,License Plate,Cover,Antenna,,
Which Traditional Dish Would You Prepare For Somebody Learning About American Culture?,Hamburger,Fried Chicken,Pizza,Hot Dog,Apple Pie,,
"If Your Cat Learned To Speak, Name Something It Would Ask For",Food/Milk,Pets/Scratches,Clean Litterbox,Catnip,Attention,,
Name A Reason Why A Student Might Be Moved To The Front Of The Class,Poor Vision,In Trouble,Teacher’s Pet,Hear Better,Attractive Teacher,,
Name An Activity Some Men Do With Their Buddies Where Wives Aren’t Invited,Play Poker,Go To Bar,Watch Sports,Golf Outing,Bachelor Party,,
Name Something People Do With Their Dogs That They Don’t Do With A Pet Goldfish.,Walk,Pet,Play Fetch,Groom,Bathe,,
"Name A Minor Ailment You Can’t Stop Your Body From Doing, But Would Dread Having Happen At Your Wedding Ceremony.",Hiccups,Coughing/Choking,Pass Gass,Sneezing Fit,Bloody Nose,,
What Might A Girl Wear For The First Time To Her Junior High Dance?,Formal dress,High Heels,Makeup,Coursage,Bra,,
Tell Me Something A Woman Might Do To Spoil Herself (More Specific Than “Spa”).,Shop,Manicure,Hair Salon,Massage,Bubble Bath,,
Name A Movie About Baseball Players,Angels In Outfield,League Of Their Own,Field Of Dreams,The Natural,Bull Durham,,
Name A Baby Farm Animal That A Child Would Probably Want To Keep As A Pet.,Piglet,Lamb,Chick,Kid/Goat,Bunny,,
Name Something In Your Wallet That Might Be Used For An ID,Driver’s License,Social Security,School ID,Credit Card,Business Card,,
Name A Way That People Spoil Their Pets.,Give Them treats,Feed Too Much,Sleep With Them,Buy Them Clothes,Buy Them Toys,,
"Other Than An Alarm, What Do People Use To Wake Them Up?",Cell Phone,Radio,Rooster,Sun,Cat/Dog,,
Name A Type Of Sauce That You’d Never Put On Pasta,Apple Sauce,Hot Sauce,Ketchup,BBQ,Chocolate Sauce,,
Name An Occasion Or Place Where You Would Not Admit That You Don’t Like The Food.,Wedding,Family Dinner,Birthday Party,On A Date,Church Picnic,,
Name A School Supply That You Haven’t Used Since You Were Young.,Crayon,Ruler,Pencil/Eraser,Paste/Glue,Compass,,
"Name A Specific Food That’s Hard To Cook Well, Without Burning",Steak,Eggs,Toast,Chicken,Cookies,,
"Other Than Sleep, Name Something You Do While Lying Down",Read,Watch TV/Movie,Make Love,Sun Bathe,Exercise,,
Name A Word That Starts With “F” That Best Describes Your Cat,Furry/Fluffy,Fat,Funny,Fast,Frisky,,
Name Something A Kid Might Do To Get Out Of Taking A Bath,Cry/Tantrum,Go To Bed,Fake Sickness,Run,Hide,,
Name Something Ugly That Can Grow On Your Feet,Corn,Athletes Foot,Wart,Bunion,Ingrown Toenail,,
Name Something About Wonder Woman The Average Woman Might Envy,Body,Power,Strength,Looks,Invisible Plane,,
Why Might Someone Who Doesn’t Like Reading Go To The Library?,Use Computer,Study,Meet People,Research,It’s Quiet,,
"We Asked 100 Husbands: If Your Wife Had A Personal Assistant, Name Something They’d Be Asked To Do.",Cook,Clean,Laundry,Shop,Make Coffee,,
"Name A Famous Male, Real Or Fictional, Who Wears Tights",Robin Hood,Superman,Peter Pan,Batman,Mikhail Barishnikov,,
Name A Beverage That’s Not Sweet,Coffee,Water,Tea,Beer,Milk,,
Name Something People Go To That Might Be Sold Out,Concert,Movies,Sports Event,Theatre,Musical,,
Name A Reason Why Parents Say That Childhood Is Better Than Adulthood.,No Bills,No Work,No Worries,More Fun/Playing,No Resposibility,,
Name A Fruit That Starts With The Letter “P.”,Pear,Peach,Pinapple,Plum,Papaya,,
Name A Way That You Wish Your Life Was More Like Your Cat’s Life,Sleep All Day,Have 9 Lives,Pleny Of Food,No Job,Plenty Of Play Time,,
Name Something You Do To Your Lawn That You Would Never Do To Your Wall-To-Wall Carpet.,Water It,Cut It,Fertilize It,Plant Flowers,Rake It,,
Name Something People Do While Telling A Lie That Gives Them Away.,No Eye Contact,Stutter,Sweating,Smile/Nervous Laugh,Red Face,,
Name Someone You Might Tip At A Hotel,Bellhop,Doorman,Waiter,Maid,Room Service,,
"Tell Me Something You Would Let Your Dog Do, But Not Your Child.",Pee Outside,Lick,Drink From Toilet,Eat Scraps,Run Loose,,
Name Something That You Could See On An Alaskan Cruise That You Probably Wouldn’t See On A Caribbean Cruise,Iceberg,Snow,Polar Bear,Whale,Seal,,
Name Something That Comes In A Bottle,Soda,Beer,Perfume,Milk,Shampoo,,
"Tell Me An Activity That Some People Are Told To Do More Of, And Others Are Told To Do Less.",Exercise,Eat,Talk,Work,Sleep,,
Name A Specific Quality That Would Make Your Buddy A Bad Wing Man,Very Shy,Too  Handsome,Drinks Too Much,Bad Hygeine,Smokes,,
What Did 100 Wives Say Their Husbands “Always Think They’re Right About” In An Argument?,Money,Raising Kids,Romance/Relationship,Cars,Sports,,
Name Something That Superstitious People Believe Will Bring Bad Luck.,Black Cat,Breaking A Mirror,Walk Under A Ladder,Number 13,Step On A Crack,,
Name A Way You Might Be Able To Tell What Someone Just Had For Lunch.,Breath,Burp,Stains,Crumbs On Teeth,They Vomit,,
Name Something That Has Springs In It.,Bed,Couch,Chair,Pogo Stick,Trampoline,,
Name Something That Might Cause A Real Life Family Feud Among Neighbors.,Noise,Money/Property,Dogs/Pets,Naughty Kids,Unkempt Yard,,
Name Something People Do On Ice,Skate,Play Hockey,Fall Down,Ice Fish,Walk,,
Name Something You Might Do After Your House Has Been Robbed.,Call Police,Get An Alarm,Move,Cry,Yell,,
How Many Days Does A Cold Last?,7,3,5,4,6,,
Tell Me How Fast Most People Drive On The Freeway. (Numeric Only),70,75,65,80,60,,
Name Something You Do When Approached By A Salesperson At A Store.,Avoid Them,Ask For Help,Smile,Say Hi,“Just Looking”,,
"When Traveling Overseas, Tell Me The Ideal Amount Of Time To Be Away From Home",2 Weeks,3 Weeks,1 Week,1 Month,10 Days,,
Name A Controversial American President,George W Bush,Richard Nixon,Bill Clinton,John F Kennedy,Abraham Lincoln,,
Name An Occupation Where You Have To Be Really Smart,Doctor,Lawyer,Scientist,Engineer,Accountant,,
Name A Profession Where Neatness Counts,Doctor/Nurse,Maid,Teacher,secretary,Accountant/Banker,,
Name Something Your Spouse Does To Let You Know They’re “In The Mood For Love.”,Kiss/Touch,Touch,Turn On Music,Undress/Change Clothes,Acty Flirty,,
Name Something A Person Might Change After Breaking Up With A Partner.,Phone Number,Hair,Name,Locks,Address,,
